Plot,ENTRY,BLOC,Name1,Heading Date,Plant height inch,Test Wt lb/bu,Plot Area,Experiment Name,Year,Locn,Yield bu/a
4021,3,2,Alum,180,35,59.5,80,2022 Satellite 5x20,2022,PUL,72.3
4022,10,2,Tekoa,181,34,61.4,80,2022 Satellite 5x20,2022,PUL,79.1
4023,1,2,Glee,177,32,62.5,80,2022 Satellite 5x20,2022,PUL,85.1
4024,2,2,Kelse,178,34,63.8,80,2022 Satellite 5x20,2022,PUL,72.6
4025,2,3,Kelse,179,35,62.2,80,2022 Satellite 5x20,2022,PUL,66.5
4026,11,3,Net CL+,180,34,61.4,80,2022 Satellite 5x20,2022,PUL,76.4
4027,3,3,Alum,180,34,61.8,80,2022 Satellite 5x20,2022,PUL,73.9
4028,12,3,Jedd,176,29,64.2,80,2022 Satellite 5x20,2022,PUL,81.3
4029,9,3,Dayn,176,33,60.4,80,2022 Satellite 5x20,2022,PUL,86.9
4030,4,3,Chet,180,43,61.8,80,2022 Satellite 5x20,2022,PUL,77.8
4031,7,3,Seahawk,181,32,62.7,80,2022 Satellite 5x20,2022,PUL,85.1
4032,1,3,Glee,175,33,63.0,80,2022 Satellite 5x20,2022,PUL,83.5
4033,5,3,Louise,182,35,59.8,80,2022 Satellite 5x20,2022,PUL,59.7
4034,10,3,Tekoa,182,33,61.5,80,2022 Satellite 5x20,2022,PUL,66.6
4035,8,3,Whit,178,32,60.1,80,2022 Satellite 5x20,2022,PUL,76.5
4036,6,3,Ryan,175,31,62.0,80,2022 Satellite 5x20,2022,PUL,83.7
